time;logger;level;message;exception
2012-03-29 08:40:34.9578;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ProductTotalPricePerCategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000001, 29-03-2012 06:40:34;
2012-03-29 08:40:34.9578;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ProductPriceIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000001, 29-03-2012 06:40:34;
2012-03-29 08:40:34.9578;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for CategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000001, 29-03-2012 06:40:34;
2012-03-29 08:40:34.9578;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ComplexCategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000001, 29-03-2012 06:40:34;
2012-03-29 08:40:34.9578;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for Raven/DocumentsByEntityName, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000001, 29-03-2012 06:40:34;
2012-03-29 08:40:34.9678;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 because: WORK BY IndexingExecuter;
2012-03-29 08:40:34.9678;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:34.9678;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work;
2012-03-29 08:40:36.1399;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'categories-102273', update: False, ;
2012-03-29 08:40:36.1399;Raven.Database.DocumentDatabase;Debug;Put document categories-102273 with etag 00000000-0000-0500-0000-000000000002;
2012-03-29 08:40:36.1399;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 because: PUT categories-102273;
2012-03-29 08:40:36.1399;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0511532;
2012-03-29 08:40:36.1399;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:36.1399;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0500-0000-000000000001;
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 1 documents remained;
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ProductPriceIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000002, 29-03-2012 06:40:36;
